Start,Peak,End,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry,Channel,IdxChannel
1346.7578125,1347.203125,1348.71484375,1.95703125,64.9985126027021,13.768114407962022,2.1800376376904405,0.5957705091398036,11.597241867362808,23.0,0.22709163346613545,Fp1A2,0
1351.40625,1352.88671875,1353.56640625,2.16015625,90.49403236293733,17.75019087692379,2.5025224915955984,0.5628454622840583,11.89453753165832,26.0,0.6841155234657039,Fp1A2,0
1358.46484375,1359.33203125,1360.6015625,2.13671875,90.77165223312517,16.293024029772745,2.3872397613807976,0.5168441606420435,11.713030255673774,25.0,0.4051094890510949,Fp1A2,0
1364.359375,1366.16015625,1366.69921875,2.33984375,77.74260627937339,14.078993029268176,2.100878843467777,0.34059352455766784,11.525224990542455,27.0,0.7683333333333333,Fp1A2,0
1368.5703125,1370.59765625,1371.41796875,2.84765625,105.09145030697078,17.70216918315999,2.333781853402197,0.3925794615197117,11.54561035932512,32.0,0.7109589041095891,Fp1A2,0
1372.45703125,1372.875,1373.58203125,1.125,72.12537121929395,16.326720373496265,2.3066635679945042,0.48166799652225833,11.943421210557212,13.0,0.370242214532872,Fp1A2,0
1374.83984375,1376.1953125,1377.046875,2.20703125,87.0847753305147,15.40141092726317,2.177232469150595,0.35776936184852914,11.644450142235314,25.0,0.6130742049469965,Fp1A2,0
1377.7578125,1378.3984375,1378.76171875,1.00390625,64.89637556136952,11.740151209679848,2.0691524966523707,0.35386568949755337,11.051540552797205,11.0,0.6356589147286822,Fp1A2,0
1379.62109375,1380.20703125,1381.08203125,1.4609375,63.98038742866287,14.769901807264157,2.073190655725417,0.27675248457689317,11.85360963347385,17.0,0.4,Fp1A2,0
1385.8359375,1386.6875,1387.38671875,1.55078125,72.31358619606675,16.796187022638918,2.403517828262407,0.4369641226019976,11.68449445527401,18.0,0.5477386934673367,Fp1A2,0
1391.40234375,1391.66796875,1391.7890625,0.38671875,53.51387640430042,14.062767263085465,2.3289709936090084,0.24033701937620933,11.764199882720968,5.0,0.68,Fp1A2,0
1401.71875,1401.984375,1402.10546875,0.38671875,44.444382276469284,9.289067952587152,1.9330501886263916,0.41537678338134393,13.200367934110627,5.0,0.68,Fp1A2,0
